Summary,Issue Type,Priority,Story Points,Sprint,Assignee,Labels,Status,Description
"[DB] Khởi tạo Database SQL Core: Cấu trúc 23 bảng cơ sở ban đầu",Task,Highest,5,"Sprint 1: Foundation_Auth",Nguyên,database,Done,"Tạo các bảng TaiKhoan, VaiTro, NhanVien, KhuVuc, TroChoi, QuyenHan để đảm bảo có Database chạy core."
"[BACKEND] Xây dựng kiến trúc 3 lớp DAL - BUS - GUI",Task,Highest,3,"Sprint 1: Foundation_Auth",Nguyên,architecture,Done,"Xây dựng C# winforms architecture. Thiết lập Connection String động."
"[UI] Màn hình đăng nhập hệ thống và xử lý quên mật khẩu",Story,High,3,"Sprint 1: Foundation_Auth",Tấn,ui,Done,"Người dùng: Nhân viên. Yêu cầu: Có thể đăng nhập bằng Tài khoản/Mật khẩu hoặc vân tay."
"[AUTH] Thuật toán mã hóa mật khẩu MD5 và phân quyền động",Task,Highest,3,"Sprint 1: Foundation_Auth",Nguyên,security,Done,"Mã hóa dữ liệu nhạy cảm. Load danh sách quyền hạn dựa trên Role của tài khoản đăng nhập."
"[CRUD] Màn hình quản lý danh mục Khu Vực (Biển, Thú, Trò chơi)",Story,Medium,3,"Sprint 1: Foundation_Auth",Tấn,frontend,Done,"Tạo form thêm sửa xóa các khu vực. Bắt lỗi Validation tên khu vực không được quá ngắn."
"[CRUD] Màn hình quản lý danh sách Trò Chơi",Story,Medium,3,"Sprint 1: Foundation_Auth",Tấn,frontend,Done,"Quản lý các trò chơi trực thuộc Khu vực tương ứng."
"[CRUD] Quản lý thông tin Hồ sơ Nhân Viên (Role, Status)",Story,High,5,"Sprint 1: Foundation_Auth",Nhi,frontend,Done,"Chức năng quản lý profile nhân sự nội bộ công viên."
"[TEST] Viết Unit Test (TDD) cho module BUS_NhanVien và BUS_KhuVuc",Task,Medium,3,"Sprint 1: Foundation_Auth",Nhi,testing,Done,"Đảm bảo logic kiểm tra tuổi nhân viên > 18 và tên khu vực hợp lệ."
"[DOC] Soạn thảo đặc tả SRS và Test Case cơ bản cho Sprint 1",Task,Low,2,"Sprint 1: Foundation_Auth",Nhi,documentation,Done,"Viết tài liệu User Guide và kịch bản test manual cho màn hình đăng nhập."
"[API] Cài đặt Kestrel Web API endpoints phục vụ Web B2C",Task,Highest,5,"Sprint 2: Pricing_WebB2C",Nguyên,backend,Done,"Bật API chạy song song với Winform để đồng bộ dữ liệu cho khách hàng online."
"[UI] Thiết kế layout giao diện Blazor WebAssembly cho Web đặt vé",Story,High,5,"Sprint 2: Pricing_WebB2C",Tấn,web,Done,"Trang chủ giới thiệu Công viên Đại Nam và Danh sách dịch vụ vé."
"[LOGIC] Thiết lập Bảng giá linh hoạt (Ngày thường vs Lễ/Cuối tuần)",Story,Highest,5,"Sprint 2: Pricing_WebB2C",Nguyên,backend,Done,"Logic ma trận cấu hình giá vé thay đổi tự động dựa trên DateTime hiện tại."
"[CRUD] Quản lý Sản phẩm F&B (Món ăn, Nước uống, Đồ lưu niệm)",Story,Medium,3,"Sprint 2: Pricing_WebB2C",Nhi,frontend,Done,"Đảm bảo sản phẩm có danh mục và đơn giá chuẩn, không được phép âm tiền."
"[CRUD] Quản lý các Combo Khuyến mãi (Gói gia đình, Gói VIP)",Story,High,3,"Sprint 2: Pricing_WebB2C",Nhi,frontend,Done,"Khách hàng mua Combo sẽ rẻ hơn mua vé lẻ 20%."
"[WEB] Xây dựng bộ máy Giỏ Hàng (Shopping Cart) trên Web",Story,Highest,5,"Sprint 2: Pricing_WebB2C",Tấn,web,Done,"Thuật toán thêm/bớt vé, lưu state trên LocalStorage để khách không bị mất khi F5."
"[SEC] Cảnh báo Hacker thay đổi giá giỏ hàng thông qua HTTP Request",Bug,Highest,0,"Sprint 2: Pricing_WebB2C",Nguyên,security,Done,"Sự cố: User chèn giá 0đ vào giỏ hàng. Patch: API phải check lại giá gốc dưới Database."
"[TEST] Kịch bản Automation Test (BDD) cho Web B2C",Task,Medium,3,"Sprint 2: Pricing_WebB2C",Nhi,testing,Done,"Mô phỏng hành vi mua vé qua Playwright hoặc Selenium."
"[UI] Cải tổ giao diện máy POS Thu Ngân chuẩn màn hình Cảm ứng 15.6 inch",Story,Highest,5,"Sprint 3: Winform_CorePOS",Tấn,ui,Done,"Thiết kế lại toàn bộ nút bấm to ra, hỗ trợ vuốt chạm cảm ứng cho Lễ tân bán siêu tốc."
"[LOGIC] Nghiệp vụ In Vé Giấy và Sinh QR Code định danh",Story,Highest,8,"Sprint 3: Winform_CorePOS",Nguyên,core,Done,"Mỗi vé in ra phải kèm một mã QR duy nhất để chống làm giả."
"[POS] Màn hình chọn Vé, Combo và add vào Bill trực tiếp",Story,High,5,"Sprint 3: Winform_CorePOS",Nhi,frontend,Done,"Kéo menu danh sách vé, click là nhảy vào hóa đơn. Tự tính tổng tiền real-time."
"[POS] Quản lý phiên Ca Làm việc của Thu Ngân (Mở ca / Đóng ca)",Story,Medium,3,"Sprint 3: Winform_CorePOS",Nguyên,core,Done,"Đầu ngày nạp 500k tiền lẻ, cuối ngày rà soát tổng két âm dương bao nhiêu."
"[CRM] Hệ thống Tích điểm Khách hàng Thân thiết (Loyalty)",Story,Medium,3,"Sprint 3: Winform_CorePOS",Nhi,backend,Done,"Mua 10k được 1 điểm. Hỗ trợ hệ số nhân 2 vào ngày sinh nhật."
"[TEST] Thực thi Unit Test (TDD) rà soát 169 kịch bản lỗi âm tiền ở POS",Task,High,3,"Sprint 3: Winform_CorePOS",Nguyên,testing,Done,"Đảm bảo phần core bán hàng bất khả xâm phạm. Rà soát BUS_DonHang và BUS_Combo."
"[APP] Khởi tạo dự án Flutter Cross-platform Mobile App",Task,High,5,"Sprint 4: Mobile_App_QR",Tấn,mobile,Done,"Set up base code Flutter, cấu hình routing và Redux state management."
"[APP] Giao diện Ví điện tử RFID trên Mobile",Story,High,3,"Sprint 4: Mobile_App_QR",Tấn,mobile,Done,"Hiển thị số tiền còn lại trong ví của Khách, hiển thị mã vạch để thanh toán."
"[APP] Tích hợp bộ quét QR Scanner bằng Máy ảnh (Camera)",Story,Highest,5,"Sprint 4: Mobile_App_QR",Nguyên,mobile,Done,"Dành cho Nhân viên Bảo vệ trạm cổng: Dùng điện thoại soi QR vé của khách để mở trạm từ."
"[LOGIC] Thuật toán soát vé chống xoay vòng vé 2 lần",Task,Highest,3,"Sprint 4: Mobile_App_QR",Nguyên,security,Done,"Vé đã dập vào cổng thì sẽ bị đánh dấu là Used. Nếu quét lại sẽ báo còi đỏ hú."
"[APP] Trải nghiệm mua vé siêu nấc trên App Mobile (Apple Pay/Momo)",Story,High,5,"Sprint 4: Mobile_App_QR",Nhi,mobile,Done,"Tích hợp deeplink thanh toán ví Momo / ZaloPay."
"[DOC] Cập nhật Cẩm nang Hướng dẫn sử dụng cho Bảo vệ Cổng",Task,Low,2,"Sprint 4: Mobile_App_QR",Nhi,documentation,Done,"Làm tài liệu manual chỉ rõ cách quét vé trên app Mobile sao cho nhạy."
"[CRUD] Quản lý Nhà cung cấp và Lô Nhập Kho",Story,Medium,3,"Sprint 5: Inventory_Ops",Nhi,frontend,Done,"Nghiệp vụ nhập kho thực phẩm nhà hàng, móc khóa lưu niệm."
"[CRUD] Form Kiểm kê số lượng tồn kho (Thẻ kho)",Story,High,5,"Sprint 5: Inventory_Ops",Nguyên,backend,Done,"Báo cáo chênh lệch tồn thực tế vs tồn hệ thống vào cuối tháng."
"[MODULE] Phân hệ Đặt Phòng Khách sạn KDL Đại Nam",Story,Highest,8,"Sprint 5: Inventory_Ops",Tấn,core,Done,"Cung cấp màn hình Đặt phòng, nhận phòng, quản lý tình trạng dọn dẹp buồng phòng."
"[MODULE] Phân hệ Quản lý Vườn Thú và Lịch cho động vật ăn",Story,Medium,3,"Sprint 5: Inventory_Ops",Nhi,core,Done,"Theo dõi số lượng thú, tình trạng sức khỏe, cảnh báo thiếu hụt thức ăn."
"[CRUD] Theo dõi Lịch bảo trì kỹ thuật cho Trò chơi mạo hiểm",Story,High,3,"Sprint 5: Inventory_Ops",Tấn,core,Done,"Đảm bảo an toàn tuyệt đối. Trò chơi quá hạn bảo trì sẽ bị khóa không cho bán vé."
"[DOC] Thiết lập lưu đồ Luồng nghiệp vụ Kho vận và Rủi ro",Task,Medium,3,"Sprint 5: Inventory_Ops",Nhi,documentation,Done,"Tài liệu chi tiết các bước từ khi nhập vỏ chai nước đến khi xuất bán."
"[UI] Dashboard Báo Cáo Doanh Thu Bán Vé cho Giám Đốc",Story,Highest,5,"Sprint 6: Dashboard_UAT",Tấn,ui,Done,"Biểu đồ chart cột/tròn doanh thu theo Ngày/Tháng/Quý/Khu vực trực quan."
"[DB] Phóng Seed Data giả lập hơn 10,000 dòn Test chuẩn Kế toán",Task,High,3,"Sprint 6: Dashboard_UAT",Nguyên,database,Done,"Tạo dữ liệu doanh thu đẹp mắt phục vụ việc Demo sản phẩm và Report load test."
"[QA] Kịch bản UAT trực tiếp với Khách Hàng (Đại Nam)",Task,Highest,5,"Sprint 6: Dashboard_UAT",Nhi,testing,Done,"Giám đốc Đại Nam xuống nghiệm thu, ký biên bản User Acceptance Testing."
"[DEVOPS] Viết Script Auto-Deploy và Run.bat khởi chạy hệ thống",Task,High,3,"Sprint 6: Dashboard_UAT",Nguyên,devops,Done,"Đóng gói phần mềm One-click install cho khách hàng không rành IT."
"[DOC] Biên soạn Tài liệu Release Note và Bàn giao toàn cục (Handoff)",Task,Medium,3,"Sprint 6: Dashboard_UAT",Nhi,documentation,Done,"Tổng kết toàn bộ 6 Sprints, chắp và code, nộp Đồ án cho trường Đại học."
