Defect ID,Title,Screen,Pre-condition,Steps,Test Data,Expected Results,Actual Results,Priority,Severity,Date,Owner,TC ID,Build,System,Assign To,Status
DEF_POS_001,Thanh toán khi giỏ hàng trống — hệ thống vẫn cho thanh toán,Màn hình Bán hàng,Đăng nhập thành công. Giỏ hàng trống.,"1. Mở phần mềm Quản lý Công viên Đại Nam.
2. Đăng nhập bằng tài khoản ""thungan01"" / ""123456"".
3. Nhấn menu ""Bán hàng"".
4. Không thêm gì vào giỏ (giỏ trống).
5. Nhấn F9 (Thanh toán tiền mặt).
6. Quan sát phản hồi.",Giỏ hàng 0 đồng,"1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Bán hàng hiển thị.
4. Giỏ trống (0 đồng).
5. Nhấn F9.
6. Hộp thoại: ""Giỏ hàng trống!"" hiển thị. Không cho thanh toán.",Hệ thống vẫn hiện popup xác nhận với Tổng đơn = 0 VNĐ. Nhấn Có thì tạo đơn hàng 0đ trong cơ sở dữ liệu.,High,Major,2026-04-10,QA_NhiNT,POS_064,v3.1.0,WinForms C#,DEV_NhiNT,Open
DEF_POS_002,Tìm kiếm sản phẩm không dấu — không trả kết quả,Màn hình Bán hàng,Đăng nhập thành công. Danh sách SP có Nước suối 500ml.,"1. Mở phần mềm.
2. Đăng nhập ""thungan01"" / ""123456"".
3. Nhấn menu ""Bán hàng"".
4. Nhấn F1 để chuyển vào ô tìm kiếm.
5. Gõ ""nuoc suoi"" (không dấu).
6. Quan sát danh sách sản phẩm.",Gõ từ khóa không dấu: nuoc suoi,"1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Bán hàng hiển thị.
4. Con trỏ vào ô tìm kiếm.
5. Danh sách sản phẩm tự động lọc ngay khi gõ.
6. Hiển thị các sản phẩm có tên chứa ""Nước"" (VD: Nước ngọt lon, Nước suối 500ml).",Danh sách sản phẩm trống. Hệ thống chỉ tìm chính xác có dấu. Nhân viên phải gõ đúng dấu mới ra kết quả.,Low,Minor,2026-04-10,QA_NhiNT,POS_012,v3.1.0,WinForms C#,DEV_NhiNT,Open
DEF_POS_003,Sản phẩm mới chưa có giá — hiện 0 đồng và vẫn cho bán,Màn hình Bán hàng,Đăng nhập thành công. SP mới tạo chưa có giá trong bảng giá.,"1. Mở phần mềm.
2. Đăng nhập ""thungan01"" / ""123456"".
3. Nhấn menu ""Bán hàng"".
4. Quan sát giá hiển thị trên thẻ của sản phẩm mới tạo.
5. Double-click để thêm vào giỏ.
6. Thanh toán.",SP mới chưa có giá,"1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Bán hàng hiển thị.
4. Giá trên thẻ hiện đúng giá theo ngày.
5. Giá khớp với bảng giá cấu hình.",SP hiện 0đ trong danh sách. Thêm giỏ bình thường. Thanh toán tổng 0đ. Mất hàng không thu tiền.,Medium,Major,2026-04-10,QA_NhiNT,POS_014,v3.1.0,WinForms C#,DEV_NhiNT,Open
DEF_POS_004,Cột ĐVT hiện mã số thay vì tên đơn vị,Màn hình Bán hàng,Đăng nhập thành công. SP Nước ngọt có quy đổi: Lon và Thùng.,"1. Mở phần mềm.
2. Đăng nhập ""thungan01"" / ""123456"".
3. Nhấn menu ""Bán hàng"".
4. Double-click vào ""Nước ngọt lon"".
5. Trong giỏ click vào ô cột ĐVT.
6. Quan sát ô ĐVT.",Nước ngọt. ĐVT Lon,"1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Bán hàng hiển thị.
4. Nước ngọt lon xuất hiện trong giỏ ĐVT mặc định = Lon.
5. Click vào ô ĐVT -> hiện danh sách xổ xuống gồm: Lon, Thùng, Lốc.
6. Cho phép chọn đơn vị khác.",Cột ĐVT hiện mã số (VD: 3) thay vì tên Thùng. Nhân viên không biết đang bán theo đơn vị nào.,Medium,Minor,2026-04-10,QA_NhiNT,POS_033,v3.1.0,WinForms C#,DEV_NhiNT,Open
DEF_POS_005,Chiết khấu tính sai — giảm cho cả đồ ăn uống,Màn hình Bán hàng,Đăng nhập thành công. KH VVIP chiết khấu 25%.,"1. Mở phần mềm.
2. Đăng nhập ""thungan01"" / ""123456"".
3. Nhấn menu ""Bán hàng"".
4. Tìm KH ""KH002"" (VVIP -25%).
5. Double-click ""Vé Người lớn"" (200.000đ).
6. Double-click ""Cơm phần"" (22.500đ).
7. Quan sát dòng preview chiết khấu và tổng tiền thực thu.",Vé 200K + Cơm 22.5K. KH VVIP 25%,"1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Bán hàng hiển thị.
4. KH VVIP 25% gán.
5. Giỏ: Vé 200.000đ.
6. Giỏ thêm: Cơm phần 22.500đ. Tổng gốc = 222.500đ.
7. Giảm 25% CHỈ trên Vé (200.000đ) = 50.000đ. Cơm phần KHÔNG bị giảm. Thực thu = 172.500đ.",Hệ thống giảm 25% trên toàn bộ đơn hàng: (200K + 22.5K) x 25% = 55.625đ. Tổng chỉ còn 166.875đ. Mất 5.625đ doanh thu đồ ăn uống.,High,Major,2026-04-10,QA_NhiNT,POS_054,v3.1.0,WinForms C#,DEV_NhiNT,Open
DEF_POS_006,Thanh toán ví RFID không quẹt KH — vẫn cho thanh toán,Màn hình Bán hàng,Đăng nhập thành công. Giỏ có hàng. Chưa quẹt thẻ RFID.,"1. Mở phần mềm.
2. Đăng nhập ""thungan01"" / ""123456"".
3. Nhấn menu ""Bán hàng"".
4. Double-click vào SP bất kỳ.
5. KHÔNG tìm khách hàng (nhãn vẫn là ""Khách vãng lai"").
6. Nhấn F10 (Thanh toán Ví RFID).
7. Quan sát phản hồi.",Giỏ có hàng. Chưa quẹt thẻ,"1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Bán hàng hiển thị.
4. Giỏ có SP.
5. Chưa gán khách hàng.
6. Nhấn F10.
7. Hộp thoại: ""Thanh toán ví RFID bắt buộc phải quẹt thẻ khách hàng trước!"" hiển thị. Không thực hiện thanh toán.",Hệ thống vẫn tạo hóa đơn thanh toán thành công dù chưa có thẻ RFID. Không trừ được ví ai cả.,Critical,Critical,2026-04-10,QA_NhiNT,POS_065,v3.1.0,WinForms C#,DEV_NhiNT,Open
DEF_POS_007,Sửa SL vượt tồn kho — hệ thống không chặn,Màn hình Bán hàng,Đăng nhập thành công. Nước suối 500ml tồn kho 762 cái.,"1. Mở phần mềm.
2. Đăng nhập ""thungan01"" / ""123456"".
3. Nhấn menu ""Bán hàng"".
4. Double-click vào ""Nước suối 500ml"" (tồn kho 762).
5. Double-click vào ô SL gõ ""999"" nhấn Enter.
6. Quan sát phản hồi.",Nước suối tồn kho 762. Nhập SL = 999,"1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Bán hàng hiển thị.
4. Giỏ: Nước suối 500ml SL=1.
5. Nhập 999 vượt tồn kho 762.
6. Cảnh báo hiển thị. SL tự động giảm xuống 762.",Hệ thống chấp nhận SL = 999 mà không cảnh báo. Thanh toán xong kho bị âm 237 chai.,Critical,Critical,2026-04-10,QA_NhiNT,POS_039,v3.1.0,WinForms C#,DEV_NhiNT,Open
DEF_POS_008,Con trỏ không tự quay về ô quét mã sau thanh toán,Màn hình Bán hàng,Đăng nhập thành công. Vừa thanh toán xong 1 đơn.,"1. Mở phần mềm.
2. Đăng nhập ""thungan01"" / ""123456"".
3. Nhấn menu ""Bán hàng"".
4. Double-click ""Cơm phần"".
5. Nhấn ""Đưa đủ"".
6. Nhấn F9. Xác nhận ""Có"".
7. Quan sát vị trí con trỏ sau khi thanh toán.",Sau thanh toán thành công,"1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Bán hàng hiển thị.
4. Giỏ: Cơm phần SL=1.
5. Ô tiền điền đủ.
6. Thanh toán thành công.
7. Giỏ xóa sạch. Con trỏ quay về ô quét mã.",Con trỏ dừng ở nút thanh toán. Nhân viên phải click tay vào ô quét mã mới quét được đơn tiếp. Làm chậm quy trình.,Low,Minor,2026-04-10,QA_NhiNT,POS_063,v3.1.0,WinForms C#,DEV_NhiNT,Open
DEF_POS_009,Quét mã Combo đang ngưng — vẫn thêm vào giỏ,Màn hình Bán hàng,Đăng nhập thành công. Combo CB002 đang tạm ngưng.,"1. Mở phần mềm.
2. Đăng nhập ""thungan01"" / ""123456"".
3. Nhấn menu ""Bán hàng"".
4. Gõ mã ""CB002"" (Combo đang tạm ngưng) vào ô quét mã nhấn Enter.
5. Quan sát phản hồi.",Mã Combo CB002 đang ngưng,"1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Bán hàng hiển thị.
4. Hệ thống tìm thấy Combo nhưng đang ngưng hoạt động.
5. Cảnh báo hiển thị: ""Combo này đang ở trạng thái ngưng không được phép xuất bán!"". Giỏ hàng không thay đổi.",Hệ thống thêm Combo vào giỏ bình thường. Không kiểm tra trạng thái hoạt động của Combo.,High,Major,2026-04-10,QA_NhiNT,POS_030,v3.1.0,WinForms C#,DEV_NhiNT,Open
DEF_POS_010,Đổi ĐVT sang Thùng khi SL lớn — kho bị âm,Màn hình Bán hàng,Đăng nhập thành công. Nước ngọt lon kho 500. 1 Thùng = 24 Lon.,"1. Mở phần mềm.
2. Đăng nhập ""thungan01"" / ""123456"".
3. Nhấn menu ""Bán hàng"".
4. Double-click vào ""Nước ngọt lon"" (tồn kho 500 lon).
5. Sửa SL = 100 (100 lon < 500 hợp lệ).
6. Đổi ĐVT sang ""Thùng"" (1 Thùng = 24 lon). Lúc này 100 Thùng = 2400 lon > 500 tồn.
7. Quan sát phản hồi.",Nước ngọt tồn 500 lon. SL = 100. Đổi sang Thùng,"1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Bán hàng hiển thị.
4. Giỏ: Nước ngọt lon ĐVT=Lon SL=1.
5. SL = 100 hợp lệ (100 < 500).
6. Đổi sang Thùng -> 100 x 24 = 2400 > 500 tồn.
7. Cảnh báo hiển thị. ĐVT tự động quay về Lon.",Hệ thống đổi ĐVT thành công. SL vẫn = 100 Thùng = 2400 lon. Thanh toán xong kho âm 1900 lon.,Critical,Critical,2026-04-10,QA_NhiNT,POS_042,v3.1.0,WinForms C#,DEV_NhiNT,Open
DEF_POS_011,Nhấn Escape khi giỏ trống — vẫn hiện hộp thoại hủy,Màn hình Bán hàng,Đăng nhập thành công. Giỏ hàng trống.,"1. Mở phần mềm.
2. Đăng nhập ""thungan01"" / ""123456"".
3. Nhấn menu ""Bán hàng"".
4. Không thêm gì vào giỏ trống.
5. Nhấn phím Escape.
6. Quan sát phản hồi.",Giỏ hàng trống,"1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Bán hàng hiển thị.
4. Giỏ trống.
5. Nhấn Escape.
6. KHÔNG hiện hộp thoại xác nhận (vì giỏ trống không có gì để hủy). Màn hình giữ nguyên.",Hệ thống vẫn hiện hộp thoại xác nhận hủy dù giỏ trống. Gây nhầm lẫn cho nhân viên.,Low,Minor,2026-04-10,QA_NhiNT,POS_072,v3.1.0,WinForms C#,DEV_NhiNT,Open
DEF_POS_012,Tiền khách đưa thiếu — nút thanh toán vẫn bấm được,Màn hình Bán hàng,Đăng nhập thành công. Giỏ có Vé Người lớn 200.000đ.,"1. Mở phần mềm.
2. Đăng nhập ""thungan01"" / ""123456"".
3. Nhấn menu ""Bán hàng"".
4. Double-click vào ""Vé Người lớn"" (giá 200.000đ).
5. Gõ ""50000"" vào ô tiền khách đưa.
6. Nhấn nút thanh toán tiền mặt.
7. Quan sát.",Vé 200K. Tiền đưa 50K,"1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Bán hàng hiển thị.
4. Giỏ: Vé 200.000đ.
5. Tiền khách đưa = 50.000.
6. Nhãn hiện: ""CÒN THIẾU: 150.000 đ"" (màu đỏ). Nút thanh toán bị khóa.",Nút thanh toán vẫn bấm được. Hệ thống tạo đơn với tiền khách đưa chỉ 50K cho đơn 200K. Thiếu 150K.,High,Major,2026-04-10,QA_NhiNT,POS_060,v3.1.0,WinForms C#,DEV_NhiNT,Open
DEF_GATE_001,Bộ đếm không reset khi đổi khu vực,Màn hình Kiểm soát vé,Đăng nhập thành công. Đang ở Khu A. Đã quét 5 vé (Hợp lệ: 3 / Từ chối: 2).,"1. Mở phần mềm.
2. Đăng nhập ""congvien01"" / ""123456"".
3. Nhấn menu ""Kiểm soát vé"".
4. Chọn Khu A. Quét 3 vé hợp lệ + 2 vé từ chối.
5. Đổi dropdown sang Khu B.
6. Quan sát bộ đếm.",Đổi từ Khu A sang Khu B,"1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Kiểm soát vé hiển thị.
4. Bộ đếm: Hợp lệ = 3 Từ chối = 2 Tổng = 5.
5. Đổi sang Khu B.
6. Bộ đếm vẫn giữ giá trị cũ (Hợp lệ = 3) không reset về 0.",Bộ đếm hiện 0 / 0 / 0 ngay khi đổi khu. Mất dữ liệu thống kê của phiên làm việc.,Medium,Minor,2026-04-10,QA_NhiNT,GATE_061,v3.1.0,WinForms C#,DEV_NhiNT,Open
DEF_GATE_002,Quét vé hết lượt — lượt vẫn bị trừ thêm,Màn hình Kiểm soát vé,Đăng nhập thành công. Vé có 1 lượt duy nhất.,"1. Mở phần mềm.
2. Đăng nhập ""congvien01"" / ""123456"".
3. Nhấn menu ""Kiểm soát vé"".
4. Chọn Khu A và Cổng chung.
5. Quét ""VE-ONCE"" lần 1.
6. Quét ""VE-ONCE"" lần 2.
7. Quan sát.",VE-ONCE có 1 lượt,"1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Kiểm soát vé hiển thị.
4. Chọn xong.
5. Lần 1: MỜI VÀO. Lượt còn: 0.
6. Lần 2: TỪ CHỐI — hết lượt. Lượt vẫn = 0 không trừ thêm.",Lần 2 vẫn hiện MỜI VÀO và trừ lượt xuống -1. Vé bị âm lượt.,Critical,Critical,2026-04-10,QA_NhiNT,GATE_029,v3.1.0,WinForms C#,DEV_NhiNT,Open
DEF_GATE_003,Quét vé sai khu vực — lượt bị trừ oan,Màn hình Kiểm soát vé,Đăng nhập thành công. Đang gác Khu A. Vé VE-002 thuộc Khu B có 3 lượt.,"1. Mở phần mềm.
2. Đăng nhập ""congvien01"" / ""123456"".
3. Nhấn menu ""Kiểm soát vé"".
4. Chọn Khu A.
5. Ghi nhận lượt vé VE-002 (thuộc Khu B) = 3.
6. Quét ""VE-002"" tại Khu A.
7. Kiểm tra lượt vé sau quét.",VE-002 thuộc Khu B. Lượt = 3,"1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình Kiểm soát vé hiển thị.
4. Khu A.
5. Lượt trước = 3.
6. SAI KHU VỰC.
7. Lượt vẫn = 3 (KHÔNG bị trừ vì quét không hợp lệ).",Lượt bị trừ còn 2. Hệ thống trừ lượt trước khi kiểm tra khu vực.,Critical,Critical,2026-04-10,QA_NhiNT,GATE_012,v3.1.0,WinForms C#,DEV_NhiNT,Open
DEF_GATE_004,Dropdown trò chơi không cập nhật khi đổi khu vực,Màn hình Kiểm soát vé,Đăng nhập thành công. Khu A có: Tàu Lượn và Đu Quay. Khu B có: Nhà Ma.,"1. Mở phần mềm.
2. Đăng nhập ""congvien01"" / ""123456"".
3. Nhấn menu ""Kiểm soát vé"".
4. Chọn Khu A. Dropdown Trò chơi hiện Tàu Lượn và Đu Quay.
5. Đổi sang Khu B.
6. Quan sát dropdown Trò chơi.",Đổi Khu A sang Khu B,"1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình hiển thị.
4. Danh sách trò chơi thuộc Khu A.
5. Đổi khu vực.
6. Dropdown Trò chơi tự cập nhật danh sách thuộc Khu B. Trò Khu A biến mất.",Danh sách trò chơi giữ nguyên của Khu A (Tàu Lượn và Đu Quay) kèm thêm trò Khu B (Nhà Ma). Bị trùng và nhầm khu.,Medium,Major,2026-04-10,QA_NhiNT,GATE_031,v3.1.0,WinForms C#,DEV_NhiNT,Open
DEF_GATE_005,Thẻ thông tin hiện lượt trước khi trừ — sai số liệu,Màn hình Kiểm soát vé,Đăng nhập thành công. Vé có 3 lượt.,"1. Mở phần mềm.
2. Đăng nhập ""congvien01"" / ""123456"".
3. Nhấn menu ""Kiểm soát vé"".
4. Chọn Khu A và Cổng chung.
5. Quét mã vé hợp lệ (3 lượt).
6. Quan sát thẻ thông tin vé.",Vé có 3 lượt,"1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình hiển thị.
4. Chọn xong.
5. MỜI VÀO.
6. Thẻ thông tin hiện: Lượt còn: 2 (đã trừ 1).",Thẻ thông tin hiện Lượt còn lại: 3 (hiện số trước khi trừ). Hiển thị lệch so với thực tế.,Medium,Major,2026-04-10,QA_NhiNT,GATE_042,v3.1.0,WinForms C#,DEV_NhiNT,Open
DEF_GATE_006,Panel kết quả không tự reset sau 5 giây,Màn hình Kiểm soát vé,Đăng nhập thành công. Vừa quét 1 vé hợp lệ.,"1. Mở phần mềm.
2. Đăng nhập ""congvien01"" / ""123456"".
3. Nhấn menu ""Kiểm soát vé"".
4. Chọn Khu A và Cổng chung.
5. Quét mã vé hợp lệ. Panel hiện MỜI VÀO.
6. Đợi 5 giây không thao tác gì.
7. Quan sát trạng thái panel.",Vé hợp lệ. Đợi 5 giây,"1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình hiển thị.
4. Chọn xong.
5. Panel: MỜI VÀO nền xanh.
6. Chờ 5 giây.
7. Panel tự quay về trạng thái SẴN SÀNG.",Panel vẫn giữ trạng thái MỜI VÀO sau 5 giây. Không tự quay về. Nhân viên bị nhầm khi nhìn từ xa.,Low,Minor,2026-04-11,QA_NhiNT,GATE_024,v3.1.0,WinForms C#,DEV_NhiNT,Open
DEF_GATE_007,Quét mã có ký tự đặc biệt — ứng dụng bị dừng,Màn hình Kiểm soát vé,Đăng nhập thành công. Form đang ở trạng thái sẵn sàng.,"1. Mở phần mềm.
2. Đăng nhập ""congvien01"" / ""123456"".
3. Nhấn menu ""Kiểm soát vé"".
4. Gõ ""!@#$%^&*()"" vào ô mã vé nhấn Enter.
5. Quan sát phản hồi.",Gõ ký tự đặc biệt,"1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình hiển thị.
4. Gõ ký tự đặc biệt.
5. Panel: KHÔNG TÌM THẤY. Không lỗi. Hệ thống xử lý an toàn.",Hệ thống bị dừng hoạt động khi gõ ký tự đặc biệt. Phải đóng và mở lại ứng dụng.,Medium,Major,2026-04-11,QA_NhiNT,GATE_049,v3.1.0,WinForms C#,DEV_NhiNT,Open
DEF_GATE_008,Quét booking đoàn chưa xác nhận — vẫn cho vào,Màn hình Kiểm soát vé,Đăng nhập thành công. Booking chưa được xác nhận tại Lễ tân.,"1. Mở phần mềm.
2. Đăng nhập ""congvien01"" / ""123456"".
3. Nhấn menu ""Kiểm soát vé"".
4. Chọn khu vực và Cổng chung.
5. Gõ mã booking đoàn chưa được xác nhận tại Lễ tân.
6. Quan sát kết quả.",Booking chưa xác nhận,"1. Phần mềm khởi động thành công.
2. Đăng nhập thành công.
3. Màn hình hiển thị.
4. Cổng chung.
5. Booking chưa xác nhận.
6. Hệ thống kiểm tra trạng thái booking và báo BOOKING LỖI.",Hệ thống cho vào bình thường dù booking chưa xác nhận. Khách vào cổng mà chưa làm thủ tục.,High,Major,2026-04-11,QA_NhiNT,GATE_057,v3.1.0,WinForms C#,DEV_NhiNT,Open
