"Title","Screen","Pre-condition","Steps","Test Data","Expected Results","Actual results","Priority","Serverity","Date","Owner","TC'ID","Build","System","Assign To","Status","Evident"
"[DF_001] Lỗi để trống nội dung giải trình khi nhập phụ thu","Màn hình Phụ thu","Đang mở hộp thoại Phụ thu.","Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản admin.
Bước 3. Vào thẻ Lưu trú, mở hộp thoại Phụ thu.
Bước 4. Nhập Giá trị phụ thu: 200000.
Bước 5. Để trống hoàn toàn ô Nội dung đền bù.
Bước 6. Nhấn nút Xác nhận.","Phụ thu: 200,000đ
Nội dung: [Trống]","Bước 1. Hiển thị màn hình đăng nhập.
Bước 2. Vào màn hình chính thành công.
Bước 3. Mở hộp thoại phụ thu.
Bước 4. Ô số tiền nhận dữ liệu bình thường.
Bước 5. Ô nội dung không có dữ liệu.
Bước 6. Hệ thống từ chối thực hiện lưu, hiển thị cảnh báo: Vui lòng nhập nội dung chi tiết cho khoản phụ thu này.","Bước 1. Hiển thị màn hình đăng nhập.
Bước 2. Vào màn hình chính thành công.
Bước 3. Mở hộp thoại phụ thu.
Bước 4. Ô số tiền nhận dữ liệu bình thường.
Bước 5. Ô nội dung không có dữ liệu.
Bước 6. Hệ thống không thực hiện kiểm tra ràng buộc (Validation), cho phép lưu khoản phụ thu không có nội dung giải trình xuống CSDL.","Medium","Medium","29/04/2026","Antigravity","TC_LT_033","Sprint 4","Hotel Management System","Dev_LuuTru","New",""
"[DF_002] Lỗi sử dụng mã giảm giá không có trong hệ thống","Màn hình Thanh toán","Đang mở màn hình thanh toán cho khách.","Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản admin.
Bước 3. Vào thẻ Lưu trú, mở màn hình Thanh toán.
Bước 4. Nhập vào ô Mã giảm giá chuỗi ký tự: SAI_MA_123.
Bước 5. Nhấn phím Enter.","Mã: SAI_MA_123","Bước 1. Hiển thị màn hình đăng nhập.
Bước 2. Vào màn hình chính thành công.
Bước 3. Mở hộp thoại thanh toán.
Bước 4. Nhập mã sai quy định.
Bước 5. Hệ thống hiển thị cảnh báo lỗi: Mã giảm giá không tồn tại hoặc đã hết thời hạn sử dụng. Giá trị tổng số tiền không thay đổi.","Bước 1. Hiển thị màn hình đăng nhập.
Bước 2. Vào màn hình chính thành công.
Bước 3. Mở hộp thoại thanh toán.
Bước 4. Nhập mã sai quy định.
Bước 5. Hệ thống phát sinh ngoại lệ (SqlException) do truy vấn mã không tồn tại, chương trình bị treo (Not Responding).","High","High","29/04/2026","Antigravity","TC_LT_040","Sprint 4","Hotel Management System","Dev_LuuTru","New",""
"[DF_003] Lỗi chọn ngày dự kiến trả phòng là một ngày trong quá khứ","Màn hình Nhận phòng","Đang mở hộp thoại nhận phòng vào ngày 29/04/2026.","Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản admin.
Bước 3. Mở hộp thoại nhận phòng.
Bước 4. Điền đầy đủ thông tin khách hàng.
Bước 5. Tại ô Dự kiến trả phòng, thực hiện chọn ngày: 28/04/2026.
Bước 6. Nhấn nút Xác nhận.","Dự kiến trả: 28/04/2026","Bước 1. Hiển thị màn hình đăng nhập.
Bước 2. Vào màn hình chính thành công.
Bước 3. Mở hộp thoại nhận phòng.
Bước 4. Thông tin khách hàng hợp lệ.
Bước 5. Lựa chọn một ngày trước ngày hiện tại.
Bước 6. Hệ thống báo lỗi ngăn chặn: Ngày dự kiến trả phòng không được phép nhỏ hơn ngày nhận phòng hiện tại.","Bước 1. Hiển thị màn hình đăng nhập.
Bước 2. Vào màn hình chính thành công.
Bước 3. Mở hộp thoại nhận phòng.
Bước 4. Thông tin khách hàng hợp lệ.
Bước 5. Lựa chọn ngày 28/04/2026.
Bước 6. Hệ thống cho phép lưu dữ liệu, dẫn đến lỗi logic khi tính toán thời gian ở (số ngày âm) tại màn hình thanh toán.","High","High","29/04/2026","Antigravity","TC_LT_050","Sprint 4","Hotel Management System","Dev_LuuTru","New",""
"[DF_004] Ngăn chặn thanh toán khi tiền khách đưa nhỏ hơn hóa đơn","Màn hình Thanh toán","Tổng hóa đơn là 1.000.000đ. Khách hàng chỉ đưa 800.000đ.","Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập admin.
Bước 3. Mở màn hình Thanh toán hóa đơn.
Bước 4. Nhập vào ô Tiền khách đưa giá trị: 800000.
Bước 5. Nhấn nút Quyết toán.","Tiền khách: 800,000đ
Tổng bill: 1,000,000đ","Bước 1. Mở màn hình quyết toán thành công.
Bước 2. Nhập số tiền thực tế khách đưa bị thiếu so với tổng bill.
Bước 3. Hệ thống hiển thị thông báo lỗi: Số tiền khách đưa hiện chưa đủ để hoàn tất thủ tục thanh toán. Nút lệnh Quyết toán bị khóa, không cho phép thực hiện.","Bước 1. Mở màn hình quyết toán thành công.
Bước 2. Nhập số tiền thiếu.
Bước 3. Hệ thống vẫn cho phép nhấn nút Quyết toán, ghi nhận doanh thu thiếu hụt vào sổ cái mà không có cảnh báo nợ lại.","High","High","29/04/2026","Antigravity","TC_LT_071","Sprint 4","Hotel Management System","Dev_LuuTru","New",""
"[DF_005] Lỗi cố gắng điều chuyển phòng sang chính nó","Màn hình Đổi phòng","Khách hàng hiện đang lưu trú tại phòng P101.","Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập admin.
Bước 3. Mở hộp thoại Đổi phòng cho phòng P101.
Bước 4. Tại danh sách Phòng chuyển đến, cố gắng thực hiện tìm hoặc nhập mã phòng P101.","Phòng chuyển đến: P101","Bước 1. Hiển thị hộp thoại đổi phòng.
Bước 2. Hệ thống tự động lọc bỏ mã phòng P101 khỏi danh sách lựa chọn, không cho phép người dùng chọn lại chính phòng đang ở.","Bước 1. Hiển thị hộp thoại đổi phòng.
Bước 2. Danh sách phòng đích vẫn chứa mã phòng P101.
Bước 3. Khi nhấn Xác nhận, hệ thống báo lỗi ngoại lệ (SqlException) do vi phạm ràng buộc dữ liệu hoặc trùng mã khóa chính khi cập nhật trạng thái phòng.","Medium","Low","29/04/2026","Antigravity","TC_LT_086","Sprint 4","Hotel Management System","Dev_LuuTru","New",""
"[DF_006] Lỗi thanh toán bằng Ví điện tử khi tài khoản không đủ số dư","Màn hình Thanh toán","Tài khoản ví của khách hàng hiện còn 100k. Tổng hóa đơn cần trả là 500k.","Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập admin.
Bước 3. Mở màn hình Thanh toán, lựa chọn phương thức Ví điện tử.
Bước 4. Thực hiện quẹt thẻ/vòng tay của khách hàng.
Bước 5. Nhấn nút Quyết toán.","Số dư ví: 100,000đ
Cần trả: 500,000đ","Bước 1. Thiết bị quẹt thẻ nhận diện thành công mã khách.
Bước 2. Hệ thống kiểm tra số dư và hiển thị thông báo lỗi: Số dư trong ví hiện tại không đủ để thực hiện thanh toán (Còn lại 100,000đ). Vui lòng thực hiện nạp thêm tiền hoặc lựa chọn phương thức khác.","Bước 1. Thiết bị quẹt thẻ nhận diện thành công.
Bước 2. Hệ thống không kiểm tra số dư ví, cho phép quyết toán thành công dẫn đến tài khoản ví bị âm (-400,000đ) mặc dù hệ thống không hỗ trợ thấu chi.","High","Critical","29/04/2026","Antigravity","TC_LT_098","Sprint 4","Hotel Management System","Dev_LuuTru","New",""
"[DF_007] Nhận phòng cho đoàn khách đông (Lỗi vượt quá tổng sức chứa thực tế)","Màn hình Nhận đoàn","Tổng sức chứa của toàn bộ các phòng đang trống hiện tại chỉ đạt mức tối đa là 15 người.","Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập admin.
Bước 3. Mở màn hình nhận phòng cho đoàn khách tập thể (Booking Group).
Bước 4. Thực hiện nhập Số lượng người trong đoàn: 20 người.
Bước 5. Nhấn nút Xác nhận lệnh.","Số lượng: 20 người
Sức chứa: 15 người","Bước 1. Mở thành công màn hình nhận đoàn.
Bước 2. Nhập con số 20 vào hệ thống.
Bước 3. Hệ thống hiển thị thông báo lỗi ngăn chặn: Tổng sức chứa của các phòng trống hiện có không đủ để đáp ứng cho đoàn 20 người. Vui lòng giảm bớt số lượng khách hoặc thực hiện trả thêm các phòng cũ đang chờ dọn.","Bước 1. Mở màn hình nhận đoàn.
Bước 2. Nhập con số 20.
Bước 3. Hệ thống cho phép thực hiện lưu, dẫn đến việc nhiều khách phải ở ghép vượt quá quy định an toàn hoặc phát sinh ngoại lệ khi không tìm đủ số phòng trống để gán khách vào.","Medium","High","29/04/2026","Antigravity","TC_LT_110","Sprint 4","Hotel Management System","Dev_LuuTru","New",""
"[DF_008] Lỗi nhập số lượng sản phẩm tiêu dùng là số âm","Màn hình Minibar","Đang mở hộp thoại Minibar.","Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập admin.
Bước 3. Vào màn hình Minibar.
Bước 4. Tại một dòng sản phẩm bất kỳ, cố gắng nhập số lượng giá trị: -1.
Bước 5. Nhấn nút Xác nhận.","Số lượng: -1","Bước 1. Bật màn hình nhập dịch vụ.
Bước 2. Ô nhập liệu tự động ngăn chặn hoặc hiển thị cảnh báo lỗi: Số lượng sử dụng không được phép nhỏ hơn 0.
Bước 3. Hệ thống không cho phép thực hiện lưu nếu giá trị vẫn là số âm.","Bước 1. Bật màn hình nhập dịch vụ.
Bước 2. Hệ thống chấp nhận số lượng -1.
Bước 3. Khi Quyết toán, hệ thống trừ tiền trên hóa đơn (khách được lợi), gây thất thoát doanh thu và sai lệch tồn kho (tồn kho tăng ảo).","Medium","Medium","29/04/2026","Antigravity","TC_LT_028","Sprint 4","Hotel Management System","Dev_LuuTru","New",""
"[DF_009] Lỗi không lựa chọn phòng đích khi đổi phòng","Màn hình Đổi phòng","Khách đang ở phòng P101.","Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập admin.
Bước 3. Vào thẻ Lưu trú, mở hộp thoại Đổi phòng.
Bước 4. Không thực hiện chọn bất kỳ giá trị nào tại ô Phòng chuyển đến.
Bước 5. Nhấn nút Xác nhận.","Phòng chuyển đến: [Trống]","Bước 1. Hiển thị màn hình đăng nhập.
Bước 2. Vào màn hình chính thành công.
Bước 3. Mở hộp thoại đổi phòng.
Bước 4. Ô phòng đích đang để trống.
Bước 5. Hệ thống từ chối thực hiện, hiển thị thông báo yêu cầu: Vui lòng lựa chọn phòng muốn chuyển đến.","Bước 1. Hiển thị màn hình đăng nhập.
Bước 2. Vào màn hình chính thành công.
Bước 3. Mở hộp thoại đổi phòng.
Bước 4. Ô phòng đích trống.
Bước 5. Phát sinh ngoại lệ NullReferenceException tại lớp BUS do tham chiếu đến đối tượng phòng trống, ứng dụng bị đóng đột ngột.","High","High","29/04/2026","Antigravity","TC_LT_023","Sprint 4","Hotel Management System","Dev_LuuTru","New",""
"[DF_010] Lỗi để trống tên khách hàng khi thực hiện nhận phòng","Màn hình Nhận phòng","Đang mở hộp thoại nhận phòng cho phòng P101.","Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập admin.
Bước 3. Vào thẻ Lưu trú, mở hộp thoại nhận phòng.
Bước 4. Để trống hoàn toàn ô Họ tên khách.
Bước 5. Nhập vào ô Điện thoại giá trị: 0911222333.
Bước 6. Nhấn nút Xác nhận.","Họ tên: [Trống]
SĐT: 0911222333","Bước 1. Hiển thị màn hình đăng nhập.
Bước 2. Vào màn hình chính thành công.
Bước 3. Mở hộp thoại nhận phòng.
Bước 4. Ô họ tên không có dữ liệu.
Bước 5. Ô điện thoại đã điền thông tin.
Bước 6. Hệ thống từ chối thực hiện lệnh lưu, hiển thị cảnh báo: Họ tên khách hàng không được phép để trống.","Bước 1. Hiển thị màn hình đăng nhập.
Bước 2. Vào màn hình chính thành công.
Bước 3. Mở hộp thoại nhận phòng.
Bước 4. Ô họ tên trống.
Bước 5. Hệ thống cho phép lưu khách hàng không tên xuống CSDL, gây khó khăn cho việc quản lý và in hóa đơn (hóa đơn trống tên khách).","High","Medium","29/04/2026","Antigravity","TC_LT_014","Sprint 4","Hotel Management System","Dev_LuuTru","New",""
"[DF_011] Lỗi nhập số điện thoại sai định dạng (có chứa chữ)","Màn hình Nhận phòng","Đang mở hộp thoại nhận phòng.","Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản admin.
Bước 3. Vào thẻ Lưu trú, mở hộp thoại nhận phòng.
Bước 4. Nhập vào ô Họ tên khách giá trị: Lê Văn C.
Bước 5. Nhập vào ô Điện thoại giá trị: 090abc123.
Bước 6. Nhấn nút Xác nhận.","SĐT: 090abc123","Bước 1. Hiển thị màn hình đăng nhập.
Bước 2. Vào màn hình chính thành công.
Bước 3. Mở hộp thoại nhận phòng.
Bước 4. Ô họ tên nhận dữ liệu bình thường.
Bước 5. Ô điện thoại nhận chuỗi ký tự sai quy định.
Bước 6. Hệ thống từ chối lưu dữ liệu, hiển thị thông báo: Số điện thoại không hợp lệ, vui lòng chỉ nhập các chữ số.","Bước 1. Hiển thị màn hình đăng nhập.
Bước 2. Vào màn hình chính thành công.
Bước 3. Mở hộp thoại nhận phòng.
Bước 4. Ô điện thoại nhận giá trị 090abc123.
Bước 5. Hệ thống vẫn thực hiện lưu xuống CSDL, gây lỗi định dạng dữ liệu khi thực hiện gửi tin nhắn thông báo hoặc truy vấn sau này.","Medium","Low","29/04/2026","Antigravity","TC_LT_015","Sprint 4","Hotel Management System","Dev_LuuTru","New",""
"[DF_012] Lỗi nhập tiền đặt cọc (ký quỹ) là số âm","Màn hình Nhận phòng","Đang mở hộp thoại nhận phòng.","Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản admin.
Bước 3. Vào thẻ Lưu trú, mở hộp thoại nhận phòng.
Bước 4. Tại ô Tiền đặt cọc, nhập giá trị: -500000.
Bước 5. Nhấn nút Xác nhận.","Đặt cọc: -500,000đ","Bước 1. Hiển thị màn hình đăng nhập.
Bước 2. Vào màn hình chính thành công.
Bước 3. Mở hộp thoại nhận phòng.
Bước 4. Ô tiền đặt cọc nhận giá trị âm.
Bước 5. Hệ thống hiển thị cảnh báo ngăn chặn: Số tiền đặt cọc phải là số dương hoặc bằng 0.","Bước 1. Hiển thị màn hình đăng nhập.
Bước 2. Vào màn hình chính thành công.
Bước 3. Mở hộp thoại nhận phòng.
Bước 4. Hệ thống chấp nhận giá trị âm, dẫn đến sai lệch nghiêm trọng khi quyết toán (tiền cọc âm làm tăng tổng tiền khách phải trả một cách vô lý).","High","High","29/04/2026","Antigravity","TC_LT_018","Sprint 4","Hotel Management System","Dev_LuuTru","New",""
"[DF_013] Lỗi nhập giá trị phụ thu bằng 0 đồng","Màn hình Phụ thu","Đang mở hộp thoại Phụ thu.","Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản admin.
Bước 3. Vào thẻ Lưu trú, mở hộp thoại Phụ thu.
Bước 4. Nhập vào ô Nội dung đền bù: Kiểm tra phụ thu không đồng.
Bước 5. Để Giá trị phụ thu hiển thị là 0.
Bước 6. Nhấn nút Xác nhận.","Số tiền: 0đ","Bước 1. Hiển thị màn hình đăng nhập.
Bước 2. Vào màn hình chính thành công.
Bước 3. Mở hộp thoại phụ thu.
Bước 4. Ô nội dung đã có thông tin.
Bước 5. Giá trị bằng 0.
Bước 6. Hệ thống từ chối lưu dữ liệu, báo lỗi: Số tiền phụ thu phải lớn hơn 0.","Bước 1. Hiển thị màn hình đăng nhập.
Bước 2. Vào màn hình chính thành công.
Bước 3. Mở hộp thoại phụ thu.
Bước 4. Hệ thống cho phép lưu bản ghi phụ thu 0 đồng, gây rác dữ liệu trong lịch sử giao dịch của khách hàng.","Low","Low","29/04/2026","Antigravity","TC_LT_034","Sprint 4","Hotel Management System","Dev_LuuTru","New",""
"[DF_014] Ô số Chứng minh nhân dân chỉ chấp nhận ký tự số","Màn hình Nhận phòng","Đang mở hộp thoại nhận phòng.","Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản admin.
Bước 3. Vào màn hình nhận phòng.
Bước 4. Tại ô nhập liệu Số CMND/CCCD, cố gắng gõ các ký tự chữ cái 'abc'.","CMND: 123abc456","Bước 1. Hiển thị màn hình đăng nhập.
Bước 2. Vào màn hình chính thành công.
Bước 3. Mở hộp thoại nhận phòng.
Bước 4. Ô nhập liệu tự động ngăn chặn, không hiển thị bất kỳ ký tự chữ cái nào vừa gõ.","Bước 1. Hiển thị màn hình đăng nhập.
Bước 2. Vào màn hình chính thành công.
Bước 3. Mở hộp thoại nhận phòng.
Bước 4. Hệ thống vẫn cho phép nhập chữ vào ô CMND, dẫn đến sai lệch thông tin định danh khách hàng.","Medium","Low","29/04/2026","Antigravity","TC_LT_063","Sprint 4","Hotel Management System","Dev_LuuTru","New",""
"[DF_015] Lỗi thay đổi ngày nhận phòng sang một ngày ở tương lai","Màn hình Nhận phòng","Ngày hiện hành theo hệ thống là 29/04/2026.","Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập admin.
Bước 3. Mở hộp thoại nhận phòng khách.
Bước 4. Tại ô Ngày nhận phòng, thực hiện chọn ngày: 01/05/2026.
Bước 5. Nhấn nút Xác nhận.","Ngày nhận: 01/05/2026","Bước 1. Hiển thị hộp thoại nhận phòng thành công.
Bước 2. Lựa chọn một ngày sau ngày hiện tại.
Bước 3. Hệ thống báo lỗi ngăn chặn: Ngày nhận phòng thực tế không thể lớn hơn ngày hiện tại. Vui lòng sử dụng tính năng Đặt phòng trước nếu muốn hẹn ngày.","Bước 1. Hiển thị hộp thoại nhận phòng thành công.
Bước 2. Hệ thống cho phép chọn ngày tương lai, dẫn đến việc phòng bị khóa trạng thái 'Đang ở' dù thực tế khách chưa tới, gây sai lệch báo cáo công suất phòng.","High","High","29/04/2026","Antigravity","TC_LT_093","Sprint 4","Hotel Management System","Dev_LuuTru","New",""
