Summary,Issue Type,Priority,Story Points,Sprint,Epic Name,Assignee,Labels,Created,Due Date,Status,Description
"Nền Tảng & Danh Mục",Epic,Highest,,,,Nguyên,,"04/Mar/26 8:00 AM",,Done,"Epic bao gồm: Database, Auth, CRUD master data, SRS, TestCase, Seed Data, Combo, Bảng giá, Sự kiện, Khuyến mãi, AI Chatbox."
"Dịch Vụ Giải Trí",Epic,High,,,,Tấn,,"01/Apr/26 8:00 AM",,Done,"Epic bao gồm: Khách sạn, Nhà hàng, Thuê đồ, Gửi xe, Biển nhân tạo, Vườn thú."
"Bán Hàng POS",Epic,Highest,,,,Nguyên,,"18/Mar/26 8:00 AM",,Done,"Epic bao gồm: Bán vé POS v1 + v2, Giỏ hàng, Thanh toán, Vé điện tử QR."
"Tài Chính & Ví",Epic,High,,,,Nguyên,,"22/Mar/26 8:00 AM",,Done,"Epic bao gồm: Ví RFID, PhieuThu/Chi, Loyalty tích điểm, Đơn hàng v2."
"Kho Vận",Epic,Medium,,,,Nguyên,,"05/Apr/26 8:00 AM",,Done,"Epic bao gồm: Nhập/Xuất/Kiểm kho, Thẻ kho, Nhà cung cấp, Phiếu kho."
"Nhân Sự & Vận Hành",Epic,Medium,,,,Tấn,,"18/Mar/26 8:00 AM",,Done,"Epic bao gồm: Nhân viên, Lịch ca, Bảo trì, Sự cố, RBAC, Dashboard."
"Tái Cấu Trúc (Refactoring)",Epic,Highest,,,,Nguyên,,"01/Apr/26 8:00 AM",,Done,"Epic bao gồm: DB Migration v1→v3, Gateway Pattern + DI, Unit Testing 102 TC, UI Redesign POS."
"Web B2C & DevOps",Epic,High,,,,Nguyên,,"15/Apr/26 8:00 AM",,Done,"Epic bao gồm: Kestrel API, Blazor WASM, run.bat, deploy.bat, Git Release v1.0."
"[DB] Thiết kế Database v1 (dbCu.sql — 23 bảng generic)",Task,Highest,5,"Sprint 1: Xây Dựng Nền Tảng","Nền Tảng & Danh Mục",Nguyên,,"04/Mar/26 9:00 AM","17/Mar/26 5:00 PM",Done,"Thiết kế cấu trúc cơ sở dữ liệu ban đầu gồm 23 bảng dùng chung cho hệ thống quản lý công viên giải trí."
"[ARCH] Thiết lập kiến trúc 3 lớp (DAL → BUS → GUI) với pattern DAL_*.Instance",Story,High,3,"Sprint 1: Xây Dựng Nền Tảng","Nền Tảng & Danh Mục",Nguyên,,"04/Mar/26 9:30 AM","17/Mar/26 5:00 PM",Done,"Xây dựng kiến trúc 3 tầng DAL-BUS-GUI. Tầng DAL sử dụng mẫu Singleton. Tạo lớp cơ sở DAL_Base."
"[CRUD] Quản lý Khu Vực — Thêm/Sửa/Xóa/Tìm kiếm",Story,Medium,3,"Sprint 1: Xây Dựng Nền Tảng","Nền Tảng & Danh Mục",Tấn,,"04/Mar/26 10:00 AM","17/Mar/26 5:00 PM",Done,"Xây dựng giao diện quản lý danh sách khu vực. Thêm, Sửa, Xóa. Kiểm tra trùng tên."
"[CRUD] Quản lý Trò Chơi — Master-Detail với Khu vực cha",Story,Medium,3,"Sprint 1: Xây Dựng Nền Tảng","Nền Tảng & Danh Mục",Tấn,,"05/Mar/26 9:00 AM","17/Mar/26 5:00 PM",Done,"Xây dựng giao diện quản lý trò chơi trong từng khu vực. Lọc theo khu vực và loại."
"[CRUD] Quản lý Loại Vé + Combo vé — Vé đơn + Vé combo cha-con",Story,Medium,3,"Sprint 1: Xây Dựng Nền Tảng","Nền Tảng & Danh Mục",Tấn,,"06/Mar/26 9:00 AM","17/Mar/26 5:00 PM",Done,"frmLoaiVe (loại vé) + frmCombo (gói combo nhiều dịch vụ với giá ưu đãi)."
"[CRUD] Quản lý Dịch vụ F&B — Sản phẩm theo danh mục + khu vực",Story,Low,3,"Sprint 1: Xây Dựng Nền Tảng","Nền Tảng & Danh Mục",Nhi,,"06/Mar/26 2:00 PM","17/Mar/26 5:00 PM",Done,"Quản lý dịch vụ (ăn uống, giải trí, cho thuê). Phân loại theo nhóm."
"[AUTH] Form Login + Đăng ký tài khoản (2 vai trò)",Story,High,2,"Sprint 1: Xây Dựng Nền Tảng","Nền Tảng & Danh Mục",Nguyên,,"07/Mar/26 9:00 AM","17/Mar/26 5:00 PM",Done,"Đăng nhập bằng tên + mật khẩu. Mã hóa. Form đăng ký tài khoản mới."
"[LAN] Form cấu hình kết nối LAN (frmConfigConnect)",Story,Medium,1,"Sprint 1: Xây Dựng Nền Tảng","Nền Tảng & Danh Mục",Nguyên,,"09/Mar/26 9:00 AM","17/Mar/26 5:00 PM",Done,"Cấu hình SQL Server trên LAN. Kiểm tra kết nối. Lưu AppConfig."
"[DOC] Viết SRS Sprint 1 + Test Case (478 TC) + Defect List (45 lỗi)",Task,Medium,2,"Sprint 1: Xây Dựng Nền Tảng","Nền Tảng & Danh Mục",Nhi,,"12/Mar/26 9:00 AM","17/Mar/26 5:00 PM",Done,"SRS v1.0. 478 TC (KhuVuc 105, TroChoi 108, LoaiVe+Combo 112, DichVu 103, Login 32, Config 18). 45 Defects (8C/14Ma/13Me/10Mi). UserGuide S1."
"[CRUD] Quản lý Nhân viên — Hồ sơ + Hình ảnh + Chức vụ",Story,High,3,"Sprint 2: Vận Hành Cơ Bản","Nhân Sự & Vận Hành",Tấn,,"18/Mar/26 9:00 AM","31/Mar/26 5:00 PM",Done,"Thêm, Sửa, Xóa NV. Tải ảnh đại diện. Tự động sinh mã NV00001. Lọc theo phòng ban."
"[CRUD] Quản lý Khách hàng — SĐT unique + Điểm tích lũy",Story,High,3,"Sprint 2: Vận Hành Cơ Bản","Nền Tảng & Danh Mục",Tấn,,"18/Mar/26 10:00 AM","31/Mar/26 5:00 PM",Done,"Quản lý KH đơn độc (CRUD cơ bản). Tự động sinh mã KH00001. Kiểm tra trùng SĐT. Xóa mềm."
"[POS] Bán hàng cơ bản — Tạo HoaDon + Chọn KH + Thanh toán",Story,Highest,5,"Sprint 2: Vận Hành Cơ Bản","Bán Hàng POS",Nguyên,,"19/Mar/26 9:00 AM","31/Mar/26 5:00 PM",Done,"POS v1: Chọn SP, thêm giỏ hàng, tính tổng, thanh toán tiền mặt."
"[Module] Sự kiện + Khuyến mãi — CRUD + Gắn KM vào HoaDon",Story,Medium,3,"Sprint 2: Vận Hành Cơ Bản","Nền Tảng & Danh Mục",Nhi,,"20/Mar/26 9:00 AM","31/Mar/26 5:00 PM",Done,"frmMarketing (sự kiện) + frmKhuyenMai (KM %, thời gian, điều kiện)."
"[Module] Vé phát hành — Sinh QR + Quét vé cổng",Story,High,5,"Sprint 2: Vận Hành Cơ Bản","Bán Hàng POS",Nguyên,,"20/Mar/26 2:00 PM","31/Mar/26 5:00 PM",Done,"frmPhatVe (QR sau khi mua) + frmKiemSoatVe (quét QR cổng, chặn dùng lần 2)."
"[Module] Ví điện tử RFID — Cấp thẻ + Nạp tiền + Giao dịch",Story,High,5,"Sprint 2: Vận Hành Cơ Bản","Tài Chính & Ví",Nguyên,,"22/Mar/26 9:00 AM","31/Mar/26 5:00 PM",Done,"Ví gắn KH: Nạp tiền, số dư, lịch sử GD. Thẻ RFID: gắn/khóa/mở/thu hồi. Tách số dư khả dụng và đóng băng."
"[Module] Bảo trì thiết bị — Lịch bảo trì + Chi phí",Story,Low,3,"Sprint 2: Vận Hành Cơ Bản","Nhân Sự & Vận Hành",Nhi,,"23/Mar/26 9:00 AM","31/Mar/26 5:00 PM",Done,"Lập lịch bảo trì, theo dõi tiến độ, cảnh báo quá hạn."
"[Module] Bảng giá linh hoạt — Ngày thường/Cuối tuần/Lễ",Story,Medium,3,"Sprint 2: Vận Hành Cơ Bản","Nền Tảng & Danh Mục",Tấn,,"24/Mar/26 9:00 AM","31/Mar/26 5:00 PM",Done,"Bảng giá theo khung: ngày thường, cuối tuần, ngày lễ."
"[Module] Ca làm + Phân ca — Lịch ca nhân viên",Story,Low,2,"Sprint 2: Vận Hành Cơ Bản","Nhân Sự & Vận Hành",Nhi,,"25/Mar/26 9:00 AM","31/Mar/26 5:00 PM",Done,"Phân ca theo tuần. Sao chép lịch từ tuần trước."
"[BUG] DB v1 thiếu bảng DoanKhach",Bug,Highest,0,"Sprint 2: Vận Hành Cơ Bản","Tái Cấu Trúc (Refactoring)",Nguyên,critical-bug,"27/Mar/26 10:00 AM","31/Mar/26 5:00 PM",Done,"CSDL v1 không có bảng DoanKhach. Không thể quản lý đoàn tour. CHẶN — giải quyết ở Sprint 3."
"[BUG] HoaDon.PhuongThuc chỉ 1 cột — không tách luồng tiền",Bug,Highest,0,"Sprint 2: Vận Hành Cơ Bản","Tái Cấu Trúc (Refactoring)",Nguyên,critical-bug,"27/Mar/26 10:30 AM","31/Mar/26 5:00 PM",Done,"Cột PhuongThuc chỉ 1 giá trị. Cần PhieuThu/PhieuChi. CHẶN — giải quyết ở Sprint 3."
"[BUG] DB v1 thiếu hoàn toàn: Phong, Ban, NCC, DongVat, VaiTro",Bug,Highest,0,"Sprint 2: Vận Hành Cơ Bản","Tái Cấu Trúc (Refactoring)",Nguyên,critical-bug,"28/Mar/26 9:00 AM","31/Mar/26 5:00 PM",Done,"KH Đại Nam xác nhận thiếu bảng KS, NH, Kho, Vườn thú, Biển, RBAC. CHẶN — giải quyết ở Sprint 3."
"[BUG] BUS gọi DAL_*.Instance static — untestable",Bug,Highest,0,"Sprint 2: Vận Hành Cơ Bản","Tái Cấu Trúc (Refactoring)",Nguyên,critical-bug,"28/Mar/26 2:00 PM","31/Mar/26 5:00 PM",Done,"Toàn bộ BUS gọi static. Không thể Unit Test. Cần Gateway + DI. CHẶN — giải quyết ở Sprint 3."
"[DOC] Viết SRS Sprint 2 + TestCase (858 TC) + Defect List (77 lỗi)",Task,Medium,2,"Sprint 2: Vận Hành Cơ Bản","Nền Tảng & Danh Mục",Nhi,,"26/Mar/26 9:00 AM","31/Mar/26 5:00 PM",Done,"SRS bổ sung. 858 TC (NhanVien 112, KhachHang 110, BanHang 125, PhatVe+KiemSoatVe 115, ViDienTu+RFID 120, BaoTri 103, BangGia 108, LichLamViec 65). 77 Defects (12C/20Ma/18Me/15Mi+12HQ). UserGuide+MeetingMinutes."
"[DB MIGRATION] Tạo Database_DaiNam.sql (60+ bảng) thay thế dbCu.sql",Story,Highest,8,"Sprint 3: Refactor Nghiệp Vụ Đại Nam","Tái Cấu Trúc (Refactoring)",Nguyên,refactoring,"01/Apr/26 9:00 AM","14/Apr/26 5:00 PM",Done,"Thiết kế lại toàn bộ CSDL từ 23 bảng generic sang 60+ bảng chuyên biệt cho KDL Đại Nam. Xem ADR-003."
"[GATEWAY] Tạo BUS_Dependencies.cs — 75+ interfaces (ADR-005)",Story,Highest,8,"Sprint 3: Refactor Nghiệp Vụ Đại Nam","Tái Cấu Trúc (Refactoring)",Nguyên,refactoring,"01/Apr/26 2:00 PM","14/Apr/26 5:00 PM",Done,"Thay thế DAL_*.Instance bằng Gateway + DI. 75+ interfaces. Mỗi BUS nhận gateway qua constructor."
"[CR-01] Redesign 100% UI — Chuẩn POS cảm ứng",Story,High,5,"Sprint 3: Refactor Nghiệp Vụ Đại Nam","Tái Cấu Trúc (Refactoring)",Tấn,change-request,"02/Apr/26 9:00 AM","14/Apr/26 5:00 PM",Done,"CR-01 từ KH: UI POS tối ưu cảm ứng 15.6 inch. Nút lớn, bàn phím số ảo."
"[POS] Form Bán Hàng v2 — Cart + Loyalty + Dynamic Pricing + Camera",Story,Highest,8,"Sprint 3: Refactor Nghiệp Vụ Đại Nam","Bán Hàng POS",Nguyên,change-request,"02/Apr/26 2:00 PM","14/Apr/26 5:00 PM",Done,"POS v2: TileView, giỏ hàng DevExpress, Quick Cash, ví RFID, chống hack giá, Loyalty, kho xuất, camera."
"[Module] Khách sạn — frmDatPhong + BookingDialog + DatPhongDoan",Story,High,5,"Sprint 3: Refactor Nghiệp Vụ Đại Nam","Dịch Vụ Giải Trí",Tấn,dai-nam-requirement,"03/Apr/26 9:00 AM","14/Apr/26 5:00 PM",Done,"Đặt phòng KS: phòng trống, tính tiền theo đêm, cọc ví RFID, trả phòng. MỚI — yêu cầu Đại Nam."
"[Module] Nhà hàng — frmNhaHang + frmDatBan + GhepBan + ThanhToan",Story,High,5,"Sprint 3: Refactor Nghiệp Vụ Đại Nam","Dịch Vụ Giải Trí",Tấn,dai-nam-requirement,"04/Apr/26 9:00 AM","14/Apr/26 5:00 PM",Done,"Quản lý bàn + bill, đặt trước + cọc, ghép bàn, chọn hình thức thanh toán. MỚI — yêu cầu Đại Nam."
"[Module] RBAC — 5 Vai trò x 36 Quyền hạn",Story,High,3,"Sprint 3: Refactor Nghiệp Vụ Đại Nam","Nhân Sự & Vận Hành",Nguyên,,"05/Apr/26 9:00 AM","14/Apr/26 5:00 PM",Done,"frmVaiTro + frmPhanQuyen. Đăng nhập tự ẩn/hiện menu theo quyền. MỚI."
"[Module] Kho hàng — frmKhoHang + NCC + PhieuKho + KiemKho + TheKho",Story,Highest,5,"Sprint 3: Refactor Nghiệp Vụ Đại Nam","Kho Vận",Nguyên,dai-nam-requirement,"05/Apr/26 2:00 PM","14/Apr/26 5:00 PM",Done,"6 form kho: frmKhoHang, frmNhaCungCap, frmTaoPhieuKho, frmPhieuNhapXuat, frmKiemKho, frmTheKho. MỚI."
"[Module] Thuê đồ — frmThueDo: Phao, Tủ, Chòi + Cọc ví",Story,Medium,3,"Sprint 3: Refactor Nghiệp Vụ Đại Nam","Dịch Vụ Giải Trí",Nhi,dai-nam-requirement,"07/Apr/26 9:00 AM","14/Apr/26 5:00 PM",Done,"Cho thuê phao bơi, áo phao, xe đạp. Đặt cọc, trả đồ, hoàn cọc. MỚI — Đại Nam."
"[Module] Gửi xe — frmGuiXe: OCR biển số + Tính phí",Story,Medium,3,"Sprint 3: Refactor Nghiệp Vụ Đại Nam","Dịch Vụ Giải Trí",Tấn,dai-nam-requirement,"07/Apr/26 2:00 PM","14/Apr/26 5:00 PM",Done,"Bãi gửi xe: ghi nhận xe vào, tính phí theo giờ, OCR biển số. MỚI."
"[Module] Đơn hàng v2 + Phiếu Thu/Chi + KH v2 (Đoàn)",Story,High,3,"Sprint 3: Refactor Nghiệp Vụ Đại Nam","Tài Chính & Ví",Tấn,,"08/Apr/26 9:00 AM","14/Apr/26 5:00 PM",Done,"Nâng cấp DonHang+CTDH thay HoaDon. PhieuThu/PhieuChi. KH v2 hỗ trợ DoanKhach."
"[Module] Combo v2 + Bảng giá Flat Matrix",Story,Medium,3,"Sprint 3: Refactor Nghiệp Vụ Đại Nam","Nền Tảng & Danh Mục",Nhi,,"09/Apr/26 9:00 AM","14/Apr/26 5:00 PM",Done,"Nâng cấp Combo (Universal Product Catalog). Bảng giá Flat Matrix 3 cột."
"[Module] Dashboard báo cáo (4 cards + filter + grid)",Story,Medium,2,"Sprint 3: Refactor Nghiệp Vụ Đại Nam","Nhân Sự & Vận Hành",Nhi,,"10/Apr/26 9:00 AM","14/Apr/26 5:00 PM",Done,"Tổng quan: Doanh thu, số vé, KH mới, công suất phòng. Filter ngày."
"[TEST] Xây dựng Unit Testing (xUnit + Moq — 102 TC)",Task,High,3,"Sprint 3: Refactor Nghiệp Vụ Đại Nam","Tái Cấu Trúc (Refactoring)",Nguyên,,"11/Apr/26 9:00 AM","14/Apr/26 5:00 PM",Done,"SD001.Tests (.NET 4.7.2 + Moq). 102 unit tests cho BUS_KhachHang, BUS_DonHang, BUS_DatBan, BUS_Phong."
"[API] Khởi tạo Kestrel C# API — RESTful endpoints",Story,High,5,"Sprint 4: Đa Nền Tảng","Web B2C & DevOps",Nguyên,,"15/Apr/26 9:00 AM","28/Apr/26 5:00 PM",Done,"ASP.NET Core Web API: endpoints cho KH, SP, đơn hàng, vé. SQL Server local."
"[WEB] Blazor WebAssembly B2C — Website đặt vé online",Story,High,5,"Sprint 4: Đa Nền Tảng","Web B2C & DevOps",Tấn,,"16/Apr/26 9:00 AM","28/Apr/26 5:00 PM",Done,"Blazor WASM B2C: xem dịch vụ, mua vé online, quản lý cá nhân. Responsive mobile."
"[WEB] UX Giỏ hàng B2C + Kết nối API",Task,Medium,3,"Sprint 4: Đa Nền Tảng","Web B2C & DevOps",Nhi,,"17/Apr/26 9:00 AM","28/Apr/26 5:00 PM",Done,"Flow giỏ hàng B2C: thêm vé, chỉnh SL, thanh toán. Kết nối API. Responsive."
"[BUG] Hacker inject HTTP sửa giá Web — Fix: Server-side Recalculation",Bug,Highest,0,"Sprint 4: Đa Nền Tảng","Web B2C & DevOps",Nguyên,security,"21/Apr/26 3:00 PM","28/Apr/26 5:00 PM",Done,"Hacker sửa giá HTTP request → 0đ. Fix: Server luôn tính lại giá từ SanPham."
"[Module] Khu vực Biển + Chất lượng nước",Story,Medium,2,"Sprint 4: Đa Nền Tảng","Dịch Vụ Giải Trí",Tấn,dai-nam-requirement,"19/Apr/26 9:00 AM","28/Apr/26 5:00 PM",Done,"frmKhuVucBien + frmChatLuongNuoc (pH, độ đục, nhiệt độ). Theo yêu cầu Đại Nam."
"[Module] Vườn thú + Động vật (100+ loài)",Story,Medium,2,"Sprint 4: Đa Nền Tảng","Dịch Vụ Giải Trí",Nhi,dai-nam-requirement,"20/Apr/26 9:00 AM","28/Apr/26 5:00 PM",Done,"frmKhuVucThu + frmDongVat (loài, số lượng, sức khỏe). Theo yêu cầu Đại Nam."
"[Module] Customer Dialogs: ThêmNhanh, Sửa, ĐiềuChỉnhĐiểm",Story,Medium,3,"Sprint 4: Đa Nền Tảng","Nền Tảng & Danh Mục",Tấn,,"22/Apr/26 9:00 AM","28/Apr/26 5:00 PM",Done,"4 dialog: ThemNhanh (POS), Sửa, ĐiềuChỉnhĐiểm, ChọnDịchVụĐoàn."
"[Module] Inventory phụ: Thẻ kho embedded + NCC",Story,Low,2,"Sprint 4: Đa Nền Tảng","Kho Vận",Nguyên,,"23/Apr/26 9:00 AM","28/Apr/26 5:00 PM",Done,"frmTheKho embedded. NCC nâng cấp (SĐT, Địa chỉ, Email, Trạng thái)."
"[Module] Sự cố + Thất lạc",Story,Low,1,"Sprint 4: Đa Nền Tảng","Nhân Sự & Vận Hành",Nhi,,"24/Apr/26 9:00 AM","28/Apr/26 5:00 PM",Done,"frmSuCo (sự cố khách) + quản lý đồ thất lạc."
"[DevOps] run.bat — Auto start SQL + API + Ngrok",Story,Medium,3,"Sprint 5: Tự Động Hóa","Web B2C & DevOps",Nguyên,devops,"29/Apr/26 9:00 AM","12/May/26 5:00 PM",Done,"Script khởi chạy đồng thời 3 dịch vụ. Kiểm tra port, tự kill process cũ."
"[DevOps] deploy.bat — Vercel Blazor WASM",Story,Medium,3,"Sprint 5: Tự Động Hóa","Web B2C & DevOps",Nguyên,devops,"30/Apr/26 9:00 AM","12/May/26 5:00 PM",Done,"Script deploy Blazor WASM lên Vercel. Xử lý _framework bị chặn."
"[DATA] Seed Data chuẩn kế toán (insert.sql — 65KB)",Task,Medium,3,"Sprint 5: Tự Động Hóa","Nền Tảng & Danh Mục",Nhi,,"02/May/26 9:00 AM","12/May/26 5:00 PM",Done,"insert.sql 65KB: dữ liệu mẫu doanh thu, GD ví, phiếu thu/chi, thẻ kho, tích điểm."
"[DOC] Bộ tài liệu SD001 (SRS, TestCase, HĐ, RASCI, RiskMgmt)",Task,Medium,5,"Sprint 5: Tự Động Hóa","Nền Tảng & Danh Mục",Nhi,,"01/May/26 9:00 AM","12/May/26 5:00 PM",Done,"Hoàn thiện 15+ tài liệu: Hợp đồng, RASCI, RiskMgmt, Báo cáo Sprint, SRS, TestCase, UserGuide, ADR."
"[AI] AI Chatbox Action Dispatcher tích hợp frmKhachHang",Story,Low,3,"Sprint 5: Tự Động Hóa","Nền Tảng & Danh Mục",Nguyên,,"05/May/26 9:00 AM","12/May/26 5:00 PM",Done,"AI Chatbox: tìm khách, chọn dòng grid, mở dialog sửa. __ACTION__ dispatching."
"[RELEASE] Git tag v1.0 + Build final + Bàn giao",Task,High,1,"Sprint 5: Tự Động Hóa","Web B2C & DevOps",Nguyên,,"10/May/26 9:00 AM","12/May/26 5:00 PM",Done,"Khóa mã nguồn: Git tag v1.0, build final, test pass. Bàn giao KH Đại Nam."
